"subject","predicate","object"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/deathPlace","http://dbpedia.org/resource/Murray_Hill_Hospital"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/imageSize","150px"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/deathCause","http://dbpedia.org/resource/Pneumococcous_Meningitis"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/quotetext","Fokker, especially, amazed us with his skill."
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/meta/pageid",51808
"http://dbpedia.org/resource/Anthony_Fokker","http://purl.org/dc/terms/modified",2011-03-24 21:25:24
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/abstract_live","Anton Herman Gerard """Anthony""" Fokker (6 April 1890 &ndash; 23 December 1939) was a pioneer in aviation and a Dutch aircraft manufacturer."
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/comment_live","Anton Herman Gerard """Anthony""" Fokker (6 April 1890 &ndash; 23 December 1939) was a pioneer in aviation and a Dutch aircraft manufacturer."
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/meta/revision","http://en.wikipedia.org/w/index.php?title=Anthony_Fokker&oldid=420429726"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikipage-en","http://en.wikipedia.org/wiki/Anthony_Fokker"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/meta/editlink","http://en.wikipedia.org/w/index.php?title=Anthony_Fokker&action=edit"
"http://mpii.de/yago/resource/Anthony_Fokker","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Anthony_Fokker"
"http://dbpedia.org/resource/Anton_Herman_Gerard_Fokker","http://dbpedia.org/property/redirect","http://dbpedia.org/resource/Anthony_Fokker"
"http://dbpedia.org/resource/Anton_Fokker","http://dbpedia.org/property/redirect","http://dbpedia.org/resource/Anthony_Fokker"
"http://dbpedia.org/resource/Anthony_H._G._Fokker","http://dbpedia.org/property/redirect","http://dbpedia.org/resource/Anthony_Fokker"
"http://dbpedia.org/resource/Anthony_Herman_Gerard_Fokker","http://dbpedia.org/property/redirect","http://dbpedia.org/resource/Anthony_Fokker"
"http://en.wikipedia.org/wiki/Anthony_Fokker","http://xmlns.com/foaf/0.1/primaryTopic","http://dbpedia.org/resource/Anthony_Fokker"
